impl,weights GiB,step ms,graph ms,tok/s,graph tok/s,GB/s
fp16 (cuBLAS),13.0,12.182,11.659,82.1,85.8,1197.2
nibblegemm INT4,3.35,5.133,4.131,194.8,242.1,871.2
