shape,M,decode ms,prefill ms,faster,fp16 ms,vs fp16
4096x4096,1,0.015,0.2034,decode,0.0314,2.09x
4096x4096,2,0.0175,0.2033,decode,0.0324,1.85x
4096x4096,4,0.0165,0.2036,decode,0.0322,1.95x
4096x4096,8,0.0213,0.2035,decode,0.0324,1.52x
4096x4096,16,n/a,0.2035,prefill,0.0317,0.16x
4096x4096,32,n/a,0.204,prefill,0.0323,0.16x
4096x4096,64,n/a,0.2045,prefill,0.0333,0.16x
4096x4096,128,n/a,0.2047,prefill,0.034,0.17x
4096x4096,256,n/a,0.2125,prefill,0.0531,0.25x
4096x4096,512,n/a,0.3865,prefill,0.0838,0.22x
4096x14336,1,0.0309,0.2327,decode,0.0977,3.16x
4096x14336,2,0.0363,0.233,decode,0.0946,2.61x
4096x14336,4,0.0364,0.2329,decode,0.0947,2.60x
4096x14336,8,0.0517,0.2329,decode,0.0951,1.84x
4096x14336,16,n/a,0.2336,prefill,0.0953,0.41x
4096x14336,32,n/a,0.2348,prefill,0.0968,0.41x
4096x14336,64,n/a,0.2369,prefill,0.0999,0.42x
4096x14336,128,n/a,0.4174,prefill,0.1201,0.29x
4096x14336,256,n/a,0.6666,prefill,0.1611,0.24x
4096x14336,512,n/a,1.1549,prefill,0.2739,0.24x
