shape,M,eager ms,graph ms,launch us,eager GB/s,graph GB/s,graph %peak
4096x4096,1,0.0165,0.013,3.55,524.9,668.8,48.5
4096x14336,1,0.0327,0.0299,2.82,926.5,1013.7,73.5
14336x4096,1,0.035,0.0318,3.2,865.9,953.0,69.1
8192x8192,1,0.0379,0.0348,3.12,913.4,995.3,72.2
