shape,M,threads,splits,ms,GB/s,%peak,vs heuristic
4096x4096,1,auto,auto,0.0169,512.0,37.1,1.00x
4096x4096,1,32,8,0.0273,317.5,23.0,0.62x
4096x4096,1,32,16,0.0196,443.3,32.1,0.87x
4096x4096,1,32,32,0.0168,515.9,37.4,1.01x
4096x4096,1,64,8,0.0293,295.7,21.4,0.58x
4096x4096,1,64,16,0.0201,431.6,31.3,0.84x
4096x4096,1,64,32,0.0168,515.9,37.4,1.01x
4096x4096,1,128,8,0.0272,318.6,23.1,0.62x
4096x4096,1,128,16,0.0198,438.3,31.8,0.86x
4096x4096,1,128,32,0.0168,515.9,37.4,1.01x
4096x14336,1,auto,auto,0.0333,910.9,66.1,1.00x
4096x14336,1,32,8,0.037,819.5,59.4,0.90x
4096x14336,1,32,16,0.0335,905.7,65.7,0.99x
4096x14336,1,32,32,0.0361,840.2,60.9,0.92x
4096x14336,1,64,8,0.0388,780.3,56.6,0.86x
4096x14336,1,64,16,0.0343,883.7,64.1,0.97x
4096x14336,1,64,32,0.0358,847.0,61.4,0.93x
4096x14336,1,128,8,0.0341,888.7,64.4,0.98x
4096x14336,1,128,16,0.0316,959.8,69.6,1.05x
4096x14336,1,128,32,0.0354,856.5,62.1,0.94x
14336x4096,1,auto,auto,0.0328,924.2,67.0,1.00x
14336x4096,1,32,8,0.0666,455.0,33.0,0.49x
14336x4096,1,32,16,0.0415,730.1,52.9,0.79x
14336x4096,1,32,32,0.0331,917.1,66.5,0.99x
14336x4096,1,32,48,0.0319,949.2,68.8,1.03x
14336x4096,1,32,64,0.0356,850.8,61.7,0.92x
14336x4096,1,32,112,0.0356,851.9,61.8,0.92x
14336x4096,1,64,8,0.0722,419.9,30.5,0.45x
14336x4096,1,64,16,0.0443,685.0,49.7,0.74x
14336x4096,1,64,32,0.0343,883.7,64.1,0.96x
14336x4096,1,64,48,0.0324,934.2,67.7,1.01x
14336x4096,1,64,64,0.0371,816.7,59.2,0.88x
14336x4096,1,64,112,0.0372,814.2,59.0,0.88x
14336x4096,1,128,8,0.0638,475.3,34.5,0.51x
14336x4096,1,128,16,0.0423,717.1,52.0,0.78x
14336x4096,1,128,32,0.033,919.7,66.7,1.00x
14336x4096,1,128,48,0.0323,937.9,68.0,1.01x
14336x4096,1,128,64,0.0368,823.0,59.7,0.89x
14336x4096,1,128,112,0.0368,824.1,59.8,0.89x
8192x8192,1,auto,auto,0.0358,968.1,70.2,1.00x
8192x8192,1,32,8,0.0457,757.7,54.9,0.78x
8192x8192,1,32,16,0.0358,968.1,70.2,1.00x
8192x8192,1,32,32,0.0355,976.9,70.8,1.01x
8192x8192,1,32,48,0.0373,927.5,67.3,0.96x
8192x8192,1,32,64,0.0372,929.9,67.4,0.96x
8192x8192,1,64,8,0.0496,698.8,50.7,0.72x
8192x8192,1,64,16,0.0372,931.5,67.5,0.96x
8192x8192,1,64,32,0.0365,948.6,68.8,0.98x
8192x8192,1,64,48,0.0403,859.4,62.3,0.89x
8192x8192,1,64,64,0.0403,859.4,62.3,0.89x
8192x8192,1,128,8,0.0469,738.8,53.6,0.76x
8192x8192,1,128,16,0.036,961.3,69.7,0.99x
8192x8192,1,128,32,0.0356,972.0,70.5,1.00x
8192x8192,1,128,48,0.0401,863.8,62.6,0.89x
8192x8192,1,128,64,0.0401,864.5,62.7,0.89x
